PersonNumber;FirstName;LastName;FullName;PartyAbbreviation;PartyName;ParlGroupAbbreviation;ParlGroupName;CantonAbbreviation;CantonName;CouncilAbbreviation;CouncilName;Active;DetailLoaded;DateOfBirth;MaritalStatus;NumberOfChildren;BirthPlaceCity;BirthPlaceCanton;Citizenship;Nationality;DateJoining;DateLeaving;DateElection;MilitaryRank;LinksRechts;KonservativLiberal;LiberaleWirtschaft;InnovativerStandort;UnabhaengigeStromversorgung;StaerkeResilienz;SchlankerStaat;HasAnalysis
3885;Jean-Pierre;Grin;Jean-Pierre Grin;SVP;;V;;VD;;NR;Nationalrat;0;0;;;;;;;;;;;;0.80;-0.70;0.60;0.40;0.70;0.80;0.70;1
4083;Jürg;Grossen;Jürg Grossen;glp;;GL;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;0.70;0.90;0.80;0.90;0.40;0.80;1
4162;Franz;Grüter;Franz Grüter;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;LU;Luzern;NR;Nationalrat;1;0;1976-06-06;verheiratet;3;Luzern;LU;Ruswil (LU);Schweiz;2023-12-04;;2023-10-22;Hauptmann;0.80;-0.70;0.90;0.80;0.70;0.90;0.90;1
4214;Niklaus-Samuel;Gugger;Niklaus-Samuel Gugger;EVP;;M-E;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.10;0.30;0.60;0.70;0.50;0.40;0.30;1
4310;Lars;Guggisberg;Lars Guggisberg;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.60;0.70;0.90;0.90;1
4216;Diana;Gutjahr;Diana Gutjahr;SVP;;V;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.90;0.70;0.60;0.70;0.90;1
4121;Barbara;Gysi;Barbara Gysi;SP;;S;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.60;0.20;0.10;1
4268;Greta;Gysin;Greta Gysin;GRÜNE;;G;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.60;0.20;0.10;1
4236;Martin;Haab;Martin Haab;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.60;0.40;0.60;0.80;0.70;1
1106;Brigitte;Häberli-Koller;Brigitte Häberli-Koller;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;TG;Thurgau;SR;Ständerat;1;0;1981-05-12;;;Wetzikon (ZH);ZH;Münchenbuchsee (BE);Schweiz;2023-12-04;;2023-10-22;-;0.30;-0.20;0.60;0.70;0.50;0.60;0.40;1
11507;Patrick;Hässig;Patrick Hässig;glp;;GL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;0.70;0.70;0.80;0.90;0.50;0.60;1
3887;Alfred;Heer;Alfred Heer;SVP;;V;;ZH;;NR;Nationalrat;0;0;;;;;;;;;;;;0.75;-0.40;0.80;0.60;0.70;0.80;0.90;1
4153;Peter;Hegglin;Peter Hegglin;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;ZG;Zug;SR;Ständerat;1;0;1979-01-08;;;Edlibach;ZG;Menzingen (ZG);Schweiz;2023-12-04;;2023-10-22;Soldat;0.20;-0.10;0.70;0.60;0.60;0.70;0.80;1
4314;Stefanie;Heimgartner;Stefanie Heimgartner;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;AG;Aargau;NR;Nationalrat;1;0;1987-04-25;;0;Baden;AG;Baden (AG);Schweiz;2023-12-04;;2023-10-22;Soldat;0.80;-0.60;0.70;0.50;0.60;0.90;0.80;1
4239;Eva;Herzog;Eva Herzog;SP;;S;;BS;;SR;Ständerat;1;0;;;;;;;;;;;;-0.60;0.40;0.40;0.60;0.70;0.30;0.30;1
4163;Erich;Hess;Erich Hess;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.90;-0.80;0.70;0.30;0.60;0.90;0.80;1
4094;Lorenz;Hess;Lorenz Hess;M-E;;M-E;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;0.30;0.70;0.60;0.50;0.40;0.40;1
4317;Alois;Huber;Alois Huber;SVP;;V;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.60;0.80;0.80;0.80;1
10831;Martin;Hübscher;Martin Hübscher;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.40;0.80;0.80;0.70;1
10844;Roman;Hug;Roman Hug;SVP;;V;;GR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.50;0.80;0.80;1
4270;Baptiste;Hurni;Baptiste Hurni;SP;;S;;NE;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.50;0.30;0.10;1
3890;Thomas;Hurter;Thomas Hurter;SVP;;V;;SH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.90;0.70;0.60;0.90;0.80;1
4164;Christian;Imark;Christian Imark;SVP;;V;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;0.90;-0.80;0.80;0.30;0.70;0.90;0.90;1
10820;Jessica;Jaccoud;Jessica Jaccoud;SP;;S;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.80;0.10;0.30;0.30;0.00;0.10;1
4032;Beat;Jans;Beat Jans;SP;;;;BS;;BR;Bundesrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.60;0.30;0.10;1
4208;Matthias Samuel;Jauslin;Matthias Samuel Jauslin;glp;;GL;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.20;0.60;0.70;0.80;0.80;0.40;0.50;1
3891;Daniel;Jositsch;Daniel Jositsch;SP;;S;;ZH;;SR;Ständerat;1;0;;;;;;;;;;;;-0.30;0.20;0.60;0.50;0.40;0.70;0.30;1
4331;Marc;Jost;Marc Jost;EVP;Evangelische Volkspartei der Schweiz;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;BE;Bern;NR;Nationalrat;1;0;1974-02-06;verheiratet;4;Thun;BE;Wynigen (BE);Schweiz;2023-12-04;;2023-10-22;Unteroffizier;-0.10;-0.40;0.40;0.30;0.60;0.40;0.20;1
4240;Charles;Juillard;Charles Juillard;M-E;;M-E;;JU;;SR;Ständerat;1;0;;;;;;;;;;;;0.10;0.20;0.60;0.50;0.40;0.50;0.70;1
4218;Irène;Kälin;Irène Kälin;GRÜNE;;G;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.60;0.10;0.10;1
4271;Sidney;Kamerzin;Sidney Kamerzin;M-E;;M-E;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;-0.20;0.60;0.50;0.50;0.70;0.40;1
10814;Pius;Kaufmann;Pius Kaufmann;M-E;;M-E;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;0.30;-0.20;0.70;0.60;0.80;0.60;0.80;1
4062;Karin;Keller-Sutter;Karin Keller-Sutter;FDP-Liberale;;;;SG;;BR;Bundesrat;1;0;;;;;;;;;;;;0.60;0.40;0.90;0.80;0.50;0.30;0.90;1
4272;Delphine;Klopfenstein Broggini;Delphine Klopfenstein Broggini;GRÜNE;;G;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.70;0.10;0.60;0.80;0.20;0.10;1
10832;Thomas;Knutti;Thomas Knutti;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.60;0.40;0.70;0.80;0.80;1
10836;Nicolas;Kolly;Nicolas Kolly;SVP;;V;;FR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.40;0.60;0.80;0.80;1
4225;Philipp;Kutter;Philipp Kutter;M-E;;M-E;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;0.60;0.80;0.70;0.40;0.30;0.40;1
4118;Christian;Lohr;Christian Lohr;M-E;;M-E;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.20;0.10;0.30;0.40;0.50;0.40;0.20;1
4327;Raphaël;Mahaim;Raphaël Mahaim;GRÜNE;;G;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.80;0.10;0.10;1
491;Pierre-Yves;Maillard;Pierre-Yves Maillard;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;VD;Waadt;SR;Ständerat;1;0;1971-10-19;verheiratet;2;Lausanne;VD;Ursy (Mossel) (FR);Schweiz;2023-12-04;;2023-10-22;-;-0.80;0.30;0.10;0.30;0.20;0.20;0.10;1
4275;Vincent;Maitre;Vincent Maitre;M-E;;M-E;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;0.30;0.70;0.60;0.40;0.40;0.50;1
4311;Piero;Marchesi;Piero Marchesi;SVP;;V;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.80;0.70;0.50;0.80;0.90;0.90;1
4303;Marianne;Maret;Marianne Maret;M-E;;M-E;;VS;;SR;Ständerat;1;0;;;;;;;;;;;;-0.30;-0.20;0.30;0.40;0.60;0.40;0.30;1
4228;Samira;Marti;Samira Marti;SP;;S;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.70;0.10;0.30;0.60;0.10;0.10;1
4197;Min Li;Marti;Min Li Marti;SP;;S;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.40;0.10;0.10;1
4167;Magdalena;Martullo-Blocher;Magdalena Martullo-Blocher;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;GR;Graubünden;NR;Nationalrat;1;1;1969-08-13;;;Männedorf;ZH;Meilen (ZH),Schattenhalb (BE),Zürich (ZH);Schweiz;2023-12-04;;2023-10-22;-;0.85;-0.70;0.75;0.80;0.90;0.75;0.90;1
4130;Nadine;Masshardt;Nadine Masshardt;SP;;S;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.70;0.20;0.10;1
4144;Thomas;Matter;Thomas Matter;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.70;0.60;0.80;0.90;1
4333;Andreas;Meier;Andreas Meier;M-E;;M-E;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.20;0.70;0.80;0.70;0.60;0.50;1
4277;Melanie;Mettler;Melanie Mettler;glp;;GL;;BE;;NR;Nationalrat;0;0;;;;;;;;;;;;-0.10;0.70;0.70;0.90;0.80;0.30;0.60;1
4198;Mattea;Meyer;Mattea Meyer;SP;;S;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.80;0.10;0.30;0.70;0.10;0.10;1
4278;Sophie;Michaud Gigon;Sophie Michaud Gigon;GRÜNE;;G;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.80;0.10;0.10;1
10810;Simon;Michel;Simon Michel;FDP-Liberale;;RL;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;0.50;0.70;0.90;0.80;0.60;0.50;0.80;1
4309;Matthias;Michel;Matthias Michel;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;ZG;Zug;SR;Ständerat;1;0;1976-10-15;;4;Thal;SG;Netstal (GL),Zug (ZG);Schweiz;2023-12-04;;2023-10-22;Gefreiter;0.50;0.60;0.80;0.80;0.40;0.70;0.70;1
4223;Fabian;Molina;Fabian Molina;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;ZH;Zürich;NR;Nationalrat;1;0;1990-07-08;;;Uster;--;Neunkirch (SH),St. Gallen (SG);Schweiz;2023-12-04;;2023-10-22;;-0.80;0.70;0.20;0.40;0.30;0.10;0.10;1
3897;Tiana Angelina;Moser;Tiana Angelina Moser;glp;Grünliberale Partei;GL;Grünliberale Fraktion;ZH;Zürich;SR;Ständerat;1;0;1979-04-06;;;Zürich;ZH;Würenlos (AG);Schweiz;2023-12-11;;2023-11-19;-;-0.20;0.70;0.70;0.80;0.60;0.20;0.40;1
10802;Benjamin;Mühlemann;Benjamin Mühlemann;FDP-Liberale;;RL;;GL;;SR;Ständerat;1;0;;;;;;;;;;;;0.60;0.40;0.80;0.60;0.50;0.90;0.80;1
4097;Leo;Müller;Leo Müller;M-E;;M-E;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;0.30;-0.20;0.70;0.60;0.50;0.60;0.40;1
4207;Damian;Müller;Damian Müller;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;LU;Luzern;SR;Ständerat;1;0;1984-10-25;;0;Ermensee;LU;Ermensee (LU);Schweiz;2023-12-04;;2023-10-22;Obergefreiter;0.40;0.60;0.80;0.70;0.60;0.80;0.90;1
4063;Stefan;Müller-Altermatt;Stefan Müller-Altermatt;M-E;;M-E;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;-0.20;0.40;0.70;0.80;0.50;0.30;1
4134;Martina;Munz;Martina Munz;SP;;S;;SH;;NR;Nationalrat;0;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.70;0.10;0.10;1
4193;Philippe;Nantermod;Philippe Nantermod;FDP-Liberale;;RL;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;0.80;0.90;0.70;0.60;0.60;0.80;1
10811;Reto;Nause;Reto Nause;M-E;;M-E;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.30;0.40;0.80;0.70;0.50;0.70;0.60;1
4168;Jacques;Nicolet;Jacques Nicolet;SVP;;V;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;-0.30;0.70;0.50;0.60;0.40;0.70;1
1279;Roger;Nordmann;Roger Nordmann;SP;;S;;VD;;NR;Nationalrat;0;0;;;;;;;;;;;;-0.70;0.30;0.20;0.80;0.90;0.10;0.10;1
3899;Eric;Nussbaumer;Eric Nussbaumer;SP;;S;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.70;0.60;0.30;0.70;0.80;0.20;0.10;1
4222;Nicolò;Paganini;Nicolò Paganini;M-E;;M-E;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.20;0.70;0.60;0.80;0.70;0.30;1
4169;Pierre-André;Page;Pierre-André Page;SVP;;V;;FR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.60;0.80;0.80;0.70;1
10840;Yvan;Pahud;Yvan Pahud;SVP;;V;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.80;0.90;0.90;1
10842;Paolo;Pamini;Paolo Pamini;SVP;;V;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.60;0.70;0.80;0.80;1
1108;Guy;Parmelin;Guy Parmelin;SVP;;;;VD;;BR;Bundesrat;1;0;;;;;;;;;;;;0.70;-0.60;0.80;0.80;0.70;0.90;0.70;1
14904;Martin;Pfister;Martin Pfister;M-E;;;;ZG;;BR;Bundesrat;1;0;;;;;;;;;;;;0.30;0.40;0.60;0.50;0.40;0.80;0.50;1
1109;Gerhard;Pfister;Gerhard Pfister;M-E;;M-E;;ZG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.10;-0.20;0.70;0.80;0.70;0.80;0.50;1
4109;Valérie;Piller Carrard;Valérie Piller Carrard;SP;;S;;FR;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.30;0.40;0.20;0.10;1
10839;Mauro;Poggia;Mauro Poggia;MCG;Mouvement Citoyens Genevois;V;Fraktion der Schweizerischen Volkspartei;GE;Genf;SR;Ständerat;1;0;1980-09-09;;;Moutier;BE;Meyrin (GE);Schweiz,Italien;2023-12-05;;2023-11-12;Soldat;0.30;-0.30;0.20;0.40;0.50;0.40;0.30;1
4280;Léonore;Porchet;Léonore Porchet;GRÜNE;;G;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.40;0.80;0.10;0.20;1
4141;Hans-Peter;Portmann;Hans-Peter Portmann;FDP-Liberale;;RL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.70;0.90;0.80;0.60;0.70;0.80;1
3999;Katharina;Prelicz-Huber;Katharina Prelicz-Huber;GRÜNE;;G;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.10;0.40;0.60;0.20;0.10;1
4281;Jon;Pult;Jon Pult;SP;;S;;GR;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.80;0.30;0.10;1
4046;Lorenzo;Quadri;Lorenzo Quadri;Lega;;V;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.40;0.30;0.60;0.80;0.70;1
4282;Thomas;Rechsteiner;Thomas Rechsteiner;M-E;;M-E;;AI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;-0.30;0.60;0.70;0.60;0.80;0.50;1
4072;Fabio;Regazzi;Fabio Regazzi;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;TI;Tessin;SR;Ständerat;1;1;1962-06-22;;;Locarno;TI;Locarno (TI);Schweiz;2023-12-04;;2023-11-19;Wachtmeister;0.60;-0.30;0.90;0.80;0.50;0.60;0.80;1
3901;Lukas;Reimann;Lukas Reimann;SVP;;V;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.40;0.80;0.80;0.90;1
10823;Estelle;Revaz;Estelle Revaz;SP;;S;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.30;0.10;0.10;1
4204;Beat;Rieder;Beat Rieder;M-E;;M-E;;VS;;SR;Ständerat;1;0;;;;;;;;;;;;0.35;-0.50;0.70;0.40;0.80;0.60;0.60;1
10830;Katja;Riem;Katja Riem;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.60;0.40;0.70;0.80;0.80;1
10801;Christoph;Riner;Christoph Riner;SVP;;V;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.80;0.80;1
4313;Maja;Riniker;Maja Riniker;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;AG;Aargau;NR;Nationalrat;1;0;1978-05-23;;;Aarau;AG;Lenzburg (AG),Villigen (AG),Habsburg (AG);Schweiz;2023-12-04;;2023-10-22;-;0.60;0.40;0.80;0.70;0.60;0.90;0.70;1
4052;Markus;Ritter;Markus Ritter;M-E;;M-E;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;-0.40;0.70;0.50;0.60;0.80;0.60;1
4220;Benjamin;Roduit;Benjamin Roduit;M-E;;M-E;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;-0.60;0.30;0.60;0.80;0.50;0.20;1
10824;Anna;Rosenwasser;Anna Rosenwasser;SP;;S;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.90;0.80;0.10;0.30;0.40;0.10;0.10;1
4231;Viktor;Rossi;Viktor Rossi;glp;;;;BE;;;;1;0;;;;;;;;;;;;0.10;0.70;0.70;0.80;0.60;0.60;0.50;1
4100;Albert;Rösti;Albert Rösti;SVP;;;;BE;;BR;Bundesrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.60;0.90;0.70;0.60;1
4283;Franziska;Roth;Franziska Roth;SP;;S;;SO;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.60;0.10;0.30;0.40;0.20;0.10;1
10821;David;Roth;David Roth;SP;;S;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.40;0.10;0.10;1
4284;Marie-France;Roth Pasquier;Marie-France Roth Pasquier;M-E;;M-E;;FR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.20;0.40;0.50;0.60;0.30;0.30;1
4329;Daniel;Ruch;Daniel Ruch;FDP-Liberale;;RL;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.50;0.30;0.90;0.60;0.60;0.50;0.80;1
4285;Monika;Rüegger;Monika Rüegger;SVP;;V;;OW;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.80;0.80;0.30;0.60;0.80;0.80;1
10852;Hans Jörg;Rüegsegger;Hans Jörg Rüegsegger;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;-0.60;0.60;0.40;0.50;0.70;0.70;1
11506;Farah;Rumy;Farah Rumy;SP;;S;;SO;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.30;0.20;0.10;1
4125;Gregor;Rutz;Gregor Rutz;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.40;0.90;0.70;0.60;0.80;0.90;1
4286;Franziska;Ryser;Franziska Ryser;GRÜNE;;G;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.30;0.70;0.80;0.10;0.10;1
4172;Werner;Salzmann;Werner Salzmann;SVP;;V;;BE;;SR;Ständerat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.90;0.80;1
4202;Regine;Sauter;Regine Sauter;FDP-Liberale;;RL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.60;0.80;0.80;0.50;0.60;0.70;1
4287;Barbara;Schaffner;Barbara Schaffner;glp;;GL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.20;0.70;0.60;0.80;0.90;0.30;0.40;1
4124;Peter;Schilliger;Peter Schilliger;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;LU;Luzern;NR;Nationalrat;1;0;1980-08-03;;3;Udligenswil;--;Udligenswil (LU),Weggis (LU);Schweiz;2023-12-04;;2023-10-22;Korporal;0.70;0.60;0.90;0.80;0.90;0.70;0.80;1
10826;Nina;Schläfli;Nina Schläfli;SP;;S;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.40;0.50;0.20;0.10;1
4234;Therese;Schläpfer;Therese Schläpfer;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.80;0.90;1
4288;Marionna;Schlatter;Marionna Schlatter;GRÜNE;;G;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.80;0.10;0.20;1
14809;Ueli;Schmezer;Ueli Schmezer;SP;;S;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.70;0.40;0.10;0.30;0.30;0.20;0.10;1
10843;Pascal;Schmid;Pascal Schmid;SVP;;V;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.80;0.60;0.40;0.50;0.80;0.80;1
4078;Martin;Schmid;Martin Schmid;FDP-Liberale;;RL;;GR;;SR;Ständerat;1;0;;;;;;;;;;;;0.60;0.40;0.80;0.70;0.80;0.50;0.70;1
4060;Daniela;Schneeberger;Daniela Schneeberger;FDP-Liberale;;RL;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;0.40;0.90;0.80;0.60;0.80;0.90;1
4289;Meret;Schneider;Meret Schneider;GRÜNE;;G;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.70;0.60;0.20;0.70;0.80;0.20;0.20;1
4040;Elisabeth;Schneider-Schneiter;Elisabeth Schneider-Schneiter;M-E;;M-E;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.30;0.80;0.70;0.40;0.60;0.50;1
10841;Markus;Schnyder;Markus Schnyder;SVP;;V;;GL;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.30;0.90;0.60;0.70;0.90;0.80;1
1159;Pirmin;Schwander;Pirmin Schwander;SVP;;V;;SZ;;SR;Ständerat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.90;0.90;0.90;1
4199;Priska;Seiler Graf;Priska Seiler Graf;SP;;S;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.30;0.60;0.10;0.10;1
4290;Andri;Silberschmidt;Andri Silberschmidt;FDP-Liberale;;RL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.80;0.90;0.80;0.50;0.40;0.70;1
4173;Sandra;Sollberger;Sandra Sollberger;SVP;;V;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.90;0.60;0.70;0.80;0.90;1
1120;Carlo;Sommaruga;Carlo Sommaruga;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;GE;Genf;SR;Ständerat;1;0;1980-06-27;;4;Zürich;ZH;Lugano (TI);Schweiz,Italien;2023-12-04;;2023-11-12;Soldat;-0.80;0.60;0.10;0.20;0.30;0.10;0.10;1
11404;Daniel;Sormanni;Daniel Sormanni;MCG;;V;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.20;-0.10;0.30;0.40;0.60;0.70;0.40;1
4292;Simon;Stadler;Simon Stadler;M-E;;M-E;;UR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.20;0.60;0.70;0.60;0.80;0.70;1
214;Luzi;Stamm;Luzi Stamm;SVP;;V;;AG;;NR;Nationalrat;0;0;;;;;;;;;;;;0.80;-0.60;0.60;0.40;0.70;0.80;0.70;1
14810;Fabienne;Stämpfli;Fabienne Stämpfli;glp;;GL;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.20;0.70;0.70;0.80;0.80;0.30;0.60;1
4241;Jakob;Stark;Jakob Stark;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;TG;Thurgau;SR;Ständerat;1;0;1958-09-08;verheiratet;2;Frauenfeld;TG;Hohentannen (TG),Teufen (AR);Schweiz;2023-12-04;;2023-10-22;Fachoffizier (Hptm);0.80;-0.20;0.70;0.60;0.70;0.80;0.90;1
4174;Barbara;Steinemann;Barbara Steinemann;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.90;-0.70;0.90;0.60;0.80;0.80;0.90;1
10847;Thomas;Stettler;Thomas Stettler;SVP;;V;;JU;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.40;0.60;0.70;0.80;1
11504;Simon;Stocker;Simon Stocker;SP;;S;;SH;;SR;Ständerat;0;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.60;0.10;0.10;1
4312;Bruno;Storni;Bruno Storni;SP;;S;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.70;0.80;0.30;0.10;1
4293;Manuel;Strupler;Manuel Strupler;SVP;;V;;TG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.90;0.90;1
4295;Gabriela;Suter;Gabriela Suter;SP;;S;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.70;0.60;0.20;0.60;0.80;0.10;0.10;1
10849;Vroni;Thalmann-Bieri;Vroni Thalmann-Bieri;SVP;;V;;LU;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.40;0.60;0.80;0.80;1
